insert into account values(12570000, "name70000", 840.03);
insert into account values(12570001, "name70001", 534.77);
insert into account values(12570002, "name70002", 820.70);
insert into account values(12570003, "name70003", 618.97);
insert into account values(12570004, "name70004", 219.86);
insert into account values(12570005, "name70005", 617.18);
insert into account values(12570006, "name70006", 782.87);
insert into account values(12570007, "name70007", 609.39);
insert into account values(12570008, "name70008", 376.60);
insert into account values(12570009, "name70009", 286.01);
insert into account values(12570010, "name70010", 941.67);
insert into account values(12570011, "name70011", 993.65);
insert into account values(12570012, "name70012", 247.97);
insert into account values(12570013, "name70013", 111.47);
insert into account values(12570014, "name70014", 75.37);
insert into account values(12570015, "name70015", 674.33);
insert into account values(12570016, "name70016", 661.25);
insert into account values(12570017, "name70017", 998.04);
insert into account values(12570018, "name70018", 133.90);
insert into account values(12570019, "name70019", 929.21);
insert into account values(12570020, "name70020", 95.65);
insert into account values(12570021, "name70021", 644.51);
insert into account values(12570022, "name70022", 371.40);
insert into account values(12570023, "name70023", 774.99);
insert into account values(12570024, "name70024", 250.29);
insert into account values(12570025, "name70025", 145.98);
insert into account values(12570026, "name70026", 67.99);
insert into account values(12570027, "name70027", 197.94);
insert into account values(12570028, "name70028", 498.85);
insert into account values(12570029, "name70029", 459.50);
insert into account values(12570030, "name70030", 909.89);
insert into account values(12570031, "name70031", 758.27);
insert into account values(12570032, "name70032", 597.94);
insert into account values(12570033, "name70033", 806.08);
insert into account values(12570034, "name70034", 631.83);
insert into account values(12570035, "name70035", 528.38);
insert into account values(12570036, "name70036", 106.05);
insert into account values(12570037, "name70037", 261.43);
insert into account values(12570038, "name70038", 36.53);
insert into account values(12570039, "name70039", 20.78);
insert into account values(12570040, "name70040", 909.87);
insert into account values(12570041, "name70041", 188.47);
insert into account values(12570042, "name70042", 425.37);
insert into account values(12570043, "name70043", 926.58);
insert into account values(12570044, "name70044", 782.17);
insert into account values(12570045, "name70045", 308.91);
insert into account values(12570046, "name70046", 925.21);
insert into account values(12570047, "name70047", 982.45);
insert into account values(12570048, "name70048", 104.32);
insert into account values(12570049, "name70049", 579.57);
insert into account values(12570050, "name70050", 285.28);
insert into account values(12570051, "name70051", 331.87);
insert into account values(12570052, "name70052", 915.90);
insert into account values(12570053, "name70053", 147.68);
insert into account values(12570054, "name70054", 586.12);
insert into account values(12570055, "name70055", 116.47);
insert into account values(12570056, "name70056", 270.86);
insert into account values(12570057, "name70057", 237.99);
insert into account values(12570058, "name70058", 782.55);
insert into account values(12570059, "name70059", 522.53);
insert into account values(12570060, "name70060", 357.66);
insert into account values(12570061, "name70061", 16.23);
insert into account values(12570062, "name70062", 472.78);
insert into account values(12570063, "name70063", 897.05);
insert into account values(12570064, "name70064", 547.23);
insert into account values(12570065, "name70065", 827.59);
insert into account values(12570066, "name70066", 561.36);
insert into account values(12570067, "name70067", 958.60);
insert into account values(12570068, "name70068", 393.87);
insert into account values(12570069, "name70069", 753.86);
insert into account values(12570070, "name70070", 697.35);
insert into account values(12570071, "name70071", 741.78);
insert into account values(12570072, "name70072", 173.34);
insert into account values(12570073, "name70073", 226.89);
insert into account values(12570074, "name70074", 274.21);
insert into account values(12570075, "name70075", 319.04);
insert into account values(12570076, "name70076", 639.33);
insert into account values(12570077, "name70077", 647.77);
insert into account values(12570078, "name70078", 380.38);
insert into account values(12570079, "name70079", 118.93);
insert into account values(12570080, "name70080", 867.11);
insert into account values(12570081, "name70081", 784.48);
insert into account values(12570082, "name70082", 606.91);
insert into account values(12570083, "name70083", 504.79);
insert into account values(12570084, "name70084", 603.62);
insert into account values(12570085, "name70085", 295.15);
insert into account values(12570086, "name70086", 777.39);
insert into account values(12570087, "name70087", 679.39);
insert into account values(12570088, "name70088", 761.11);
insert into account values(12570089, "name70089", 35.65);
insert into account values(12570090, "name70090", 974.99);
insert into account values(12570091, "name70091", 956.43);
insert into account values(12570092, "name70092", 731.37);
insert into account values(12570093, "name70093", 258.50);
insert into account values(12570094, "name70094", 537.68);
insert into account values(12570095, "name70095", 547.93);
insert into account values(12570096, "name70096", 894.20);
insert into account values(12570097, "name70097", 842.81);
insert into account values(12570098, "name70098", 726.87);
insert into account values(12570099, "name70099", 629.16);
insert into account values(12570100, "name70100", 112.33);
insert into account values(12570101, "name70101", 570.67);
insert into account values(12570102, "name70102", 88.68);
insert into account values(12570103, "name70103", 581.95);
insert into account values(12570104, "name70104", 890.30);
insert into account values(12570105, "name70105", 15.30);
insert into account values(12570106, "name70106", 977.26);
insert into account values(12570107, "name70107", 121.37);
insert into account values(12570108, "name70108", 228.66);
insert into account values(12570109, "name70109", 374.85);
insert into account values(12570110, "name70110", 775.49);
insert into account values(12570111, "name70111", 352.52);
insert into account values(12570112, "name70112", 820.19);
insert into account values(12570113, "name70113", 65.80);
insert into account values(12570114, "name70114", 808.39);
insert into account values(12570115, "name70115", 736.65);
insert into account values(12570116, "name70116", 319.34);
insert into account values(12570117, "name70117", 216.95);
insert into account values(12570118, "name70118", 910.92);
insert into account values(12570119, "name70119", 413.85);
insert into account values(12570120, "name70120", 877.94);
insert into account values(12570121, "name70121", 688.00);
insert into account values(12570122, "name70122", 900.73);
insert into account values(12570123, "name70123", 253.16);
insert into account values(12570124, "name70124", 873.11);
insert into account values(12570125, "name70125", 987.87);
insert into account values(12570126, "name70126", 252.75);
insert into account values(12570127, "name70127", 980.12);
insert into account values(12570128, "name70128", 503.21);
insert into account values(12570129, "name70129", 373.25);
insert into account values(12570130, "name70130", 378.13);
insert into account values(12570131, "name70131", 752.47);
insert into account values(12570132, "name70132", 329.17);
insert into account values(12570133, "name70133", 353.06);
insert into account values(12570134, "name70134", 516.69);
insert into account values(12570135, "name70135", 83.79);
insert into account values(12570136, "name70136", 206.88);
insert into account values(12570137, "name70137", 446.81);
insert into account values(12570138, "name70138", 489.86);
insert into account values(12570139, "name70139", 267.09);
insert into account values(12570140, "name70140", 632.68);
insert into account values(12570141, "name70141", 114.36);
insert into account values(12570142, "name70142", 922.47);
insert into account values(12570143, "name70143", 363.51);
insert into account values(12570144, "name70144", 388.29);
insert into account values(12570145, "name70145", 415.72);
insert into account values(12570146, "name70146", 773.83);
insert into account values(12570147, "name70147", 106.11);
insert into account values(12570148, "name70148", 142.04);
insert into account values(12570149, "name70149", 853.48);
insert into account values(12570150, "name70150", 22.87);
insert into account values(12570151, "name70151", 870.12);
insert into account values(12570152, "name70152", 401.17);
insert into account values(12570153, "name70153", 357.97);
insert into account values(12570154, "name70154", 192.89);
insert into account values(12570155, "name70155", 456.92);
insert into account values(12570156, "name70156", 663.67);
insert into account values(12570157, "name70157", 187.25);
insert into account values(12570158, "name70158", 511.61);
insert into account values(12570159, "name70159", 407.18);
insert into account values(12570160, "name70160", 277.34);
insert into account values(12570161, "name70161", 863.66);
insert into account values(12570162, "name70162", 675.52);
insert into account values(12570163, "name70163", 134.93);
insert into account values(12570164, "name70164", 549.99);
insert into account values(12570165, "name70165", 830.92);
insert into account values(12570166, "name70166", 105.60);
insert into account values(12570167, "name70167", 867.47);
insert into account values(12570168, "name70168", 320.02);
insert into account values(12570169, "name70169", 536.08);
insert into account values(12570170, "name70170", 921.35);
insert into account values(12570171, "name70171", 949.70);
insert into account values(12570172, "name70172", 548.10);
insert into account values(12570173, "name70173", 225.70);
insert into account values(12570174, "name70174", 422.14);
insert into account values(12570175, "name70175", 252.44);
insert into account values(12570176, "name70176", 289.51);
insert into account values(12570177, "name70177", 400.16);
insert into account values(12570178, "name70178", 359.29);
insert into account values(12570179, "name70179", 246.80);
insert into account values(12570180, "name70180", 877.53);
insert into account values(12570181, "name70181", 669.99);
insert into account values(12570182, "name70182", 354.13);
insert into account values(12570183, "name70183", 91.79);
insert into account values(12570184, "name70184", 71.01);
insert into account values(12570185, "name70185", 305.62);
insert into account values(12570186, "name70186", 573.92);
insert into account values(12570187, "name70187", 900.51);
insert into account values(12570188, "name70188", 888.20);
insert into account values(12570189, "name70189", 134.00);
insert into account values(12570190, "name70190", 750.27);
insert into account values(12570191, "name70191", 248.64);
insert into account values(12570192, "name70192", 236.36);
insert into account values(12570193, "name70193", 318.42);
insert into account values(12570194, "name70194", 889.16);
insert into account values(12570195, "name70195", 854.55);
insert into account values(12570196, "name70196", 352.43);
insert into account values(12570197, "name70197", 363.97);
insert into account values(12570198, "name70198", 986.47);
insert into account values(12570199, "name70199", 330.19);
insert into account values(12570200, "name70200", 368.66);
insert into account values(12570201, "name70201", 516.65);
insert into account values(12570202, "name70202", 408.40);
insert into account values(12570203, "name70203", 946.23);
insert into account values(12570204, "name70204", 245.66);
insert into account values(12570205, "name70205", 563.92);
insert into account values(12570206, "name70206", 571.61);
insert into account values(12570207, "name70207", 81.29);
insert into account values(12570208, "name70208", 175.37);
insert into account values(12570209, "name70209", 582.42);
insert into account values(12570210, "name70210", 118.11);
insert into account values(12570211, "name70211", 951.73);
insert into account values(12570212, "name70212", 705.93);
insert into account values(12570213, "name70213", 808.45);
insert into account values(12570214, "name70214", 724.11);
insert into account values(12570215, "name70215", 171.09);
insert into account values(12570216, "name70216", 957.81);
insert into account values(12570217, "name70217", 598.68);
insert into account values(12570218, "name70218", 503.71);
insert into account values(12570219, "name70219", 755.52);
insert into account values(12570220, "name70220", 557.97);
insert into account values(12570221, "name70221", 34.05);
insert into account values(12570222, "name70222", 288.13);
insert into account values(12570223, "name70223", 2.95);
insert into account values(12570224, "name70224", 333.37);
insert into account values(12570225, "name70225", 821.66);
insert into account values(12570226, "name70226", 215.89);
insert into account values(12570227, "name70227", 368.92);
insert into account values(12570228, "name70228", 33.28);
insert into account values(12570229, "name70229", 914.94);
insert into account values(12570230, "name70230", 57.55);
insert into account values(12570231, "name70231", 992.83);
insert into account values(12570232, "name70232", 971.96);
insert into account values(12570233, "name70233", 162.59);
insert into account values(12570234, "name70234", 305.68);
insert into account values(12570235, "name70235", 933.58);
insert into account values(12570236, "name70236", 499.87);
insert into account values(12570237, "name70237", 840.42);
insert into account values(12570238, "name70238", 733.28);
insert into account values(12570239, "name70239", 20.77);
insert into account values(12570240, "name70240", 187.20);
insert into account values(12570241, "name70241", 430.92);
insert into account values(12570242, "name70242", 595.37);
insert into account values(12570243, "name70243", 193.69);
insert into account values(12570244, "name70244", 326.55);
insert into account values(12570245, "name70245", 412.41);
insert into account values(12570246, "name70246", 148.14);
insert into account values(12570247, "name70247", 961.51);
insert into account values(12570248, "name70248", 236.20);
insert into account values(12570249, "name70249", 992.34);
insert into account values(12570250, "name70250", 230.55);
insert into account values(12570251, "name70251", 146.22);
insert into account values(12570252, "name70252", 70.03);
insert into account values(12570253, "name70253", 355.18);
insert into account values(12570254, "name70254", 711.03);
insert into account values(12570255, "name70255", 897.51);
insert into account values(12570256, "name70256", 394.40);
insert into account values(12570257, "name70257", 789.36);
insert into account values(12570258, "name70258", 368.25);
insert into account values(12570259, "name70259", 162.41);
insert into account values(12570260, "name70260", 476.11);
insert into account values(12570261, "name70261", 727.43);
insert into account values(12570262, "name70262", 305.91);
insert into account values(12570263, "name70263", 241.07);
insert into account values(12570264, "name70264", 714.23);
insert into account values(12570265, "name70265", 914.57);
insert into account values(12570266, "name70266", 173.30);
insert into account values(12570267, "name70267", 528.91);
insert into account values(12570268, "name70268", 953.09);
insert into account values(12570269, "name70269", 225.20);
insert into account values(12570270, "name70270", 2.05);
insert into account values(12570271, "name70271", 659.87);
insert into account values(12570272, "name70272", 215.72);
insert into account values(12570273, "name70273", 918.27);
insert into account values(12570274, "name70274", 181.91);
insert into account values(12570275, "name70275", 834.77);
insert into account values(12570276, "name70276", 402.28);
